"Deal","Product name","Current prices","old prices","Discount 3","Rating","ic href 2","add","_ni src"
"","Belkin Screenforce Tempered Glass For Apple Ipad Pro12.9"" (1YR WRTY)","KSh 2,499","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Hama Universal Usb-c Notebook Power Supply 45w(200005) (5YRs WRTY)","KSh 5,995","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Sandisk Extreme Pro 32GB SDXC UHS-I Card For Camera,   (1YR WRTY)","KSh 3,900","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Sandisk Memory Card Ultra 16GB MicroSDHC UHS-I Class 10 (1YR WRTY)","KSh 899","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Bounce Cord Series Micro USB Cable Black 1.2m,  (6 Months WRTY)","KSh 350","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Hama  Usb-a-lightning Charging Cable 1.5m (201538)","KSh 2,995","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Philips SHE3015TL/00- Earbud Headphone - Teal","KSh 1,395","","","","","Add to cart",""
"","Logitech Meetup Tv Mount - Black, (1YR WRTY)","KSh 14,999","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Hama Data Cable Usb-a To Usb-c 1m (178395), (5YR WRTY)","KSh 1,295","KSh 2,590","50%","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Promate ProLink4K1-150 4K HDMI To HDMI Cable 1.5m","KSh 1,500","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Hama  Led Ring Light Sportlight Smart 80 Ii For Smartphone (004657)","KSh 7,995","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Euroken MS-1757BT BLUETOOTH SPEAKER WITH DAZZLING LED LIGHTS","KSh 1,615","KSh 2,677","40%","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Orico USB-C PD 60W Fast Charge Cable","KSh 2,200","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Headset S109 Business Design Wireless Bluetooth Earpiece","KSh 649","KSh 749","13%","4 out of 5","","Add to cart",""
"","Crown Micro AUDIO DOPE Bluetooth Headphones (CMBH-9320)","KSh 7,000","","","","","Add to cart",""
"","Hama Car Charger With Micro-USB Cable (102078), (5YR WRTY)","KSh 1,495","KSh 2,990","50%","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
